source,target,value,sweep_2,sweep_3,sweep_4
Parenting beliefs,Plays sports,0.00033690303,Parenting (general),Parenting (activities),Parenting (involvement)
Parenting beliefs,PE (teacher-rating),8.5728854e-05,Parenting (general),Parenting (activities),Parenting (involvement)
Parenting beliefs,Cognition (vocabulary),8.547122e-05,Parenting (general),Parenting (activities),Parenting (involvement)
Parenting beliefs,STEM (teacher-rating),0.0003580597,Parenting (general),Parenting (activities),Parenting (involvement)
Parenting beliefs,English (teacher-rating),0.00022111571,Parenting (general),Parenting (activities),Parenting (involvement)
Parenting beliefs,School aptitude (teacher-rating),0.00022195383,Parenting (general),Parenting (activities),Parenting (involvement)
Parenting beliefs,Bullies others (teacher-rating),0.00018242867,Parenting (general),Parenting (activities),Parenting (involvement)
Parenting beliefs,Bullied by others (teacher-rating),0.00018784542,Parenting (general),Parenting (activities),Parenting (involvement)
Parenting beliefs,Feelings (laughter),9.2768125e-05,Parenting (general),Parenting (activities),Parenting (involvement)
Parenting beliefs,Feelings (anger),0.00027481155,Parenting (general),Parenting (activities),Parenting (involvement)
Parenting beliefs,Feelings (worrying),8.3071725e-05,Parenting (general),Parenting (activities),Parenting (involvement)
Parenting beliefs,Feelings (sadness),0.00030642832,Parenting (general),Parenting (activities),Parenting (involvement)
Parenting beliefs,Peer relationship problems,0.000120922865,Parenting (general),Parenting (activities),Parenting (involvement)
Parenting beliefs,STEM (teacher-rating),8.162278e-05,Parenting (general),Parenting (activities),Digital access
Parenting beliefs,Art/music (teacher-rating),0.00016055483,Parenting (general),Parenting (activities),Digital access
Parenting beliefs,Feelings (laughter),9.891183e-05,Parenting (general),Parenting (activities),Digital access
Parenting beliefs,PE (teacher-rating),8.3967796e-05,Parenting (general),Parenting (activities),PE (teacher-rating)
Parenting beliefs,PE (teacher-rating),0.000102378755,Parenting (general),Parenting (activities),Cognition (reading)
Parenting beliefs,Cognition (vocabulary),0.00011837899,Parenting (general),Parenting (activities),Cognition (reading)
Parenting beliefs,STEM (teacher-rating),0.00035380546,Parenting (general),Parenting (activities),Cognition (reading)
Parenting beliefs,English (teacher-rating),0.00051930104,Parenting (general),Parenting (activities),Cognition (reading)
Parenting beliefs,Art/music (teacher-rating),0.00020222263,Parenting (general),Parenting (activities),Cognition (reading)
Parenting beliefs,School aptitude (teacher-rating),0.00034884154,Parenting (general),Parenting (activities),Cognition (reading)
Parenting beliefs,Feelings (laughter),0.00014127426,Parenting (general),Parenting (activities),Cognition (reading)
Parenting beliefs,Cognition (working memory),7.6420445e-05,Parenting (general),Parenting (activities),STEM (teacher-rating)
Parenting beliefs,STEM (teacher-rating),0.00014717976,Parenting (general),Parenting (activities),STEM (teacher-rating)
Parenting beliefs,English (teacher-rating),0.00012377514,Parenting (general),Parenting (activities),English (teacher-rating)
Parenting beliefs,School aptitude (teacher-rating),8.26378e-05,Parenting (general),Parenting (activities),English (teacher-rating)
Parenting beliefs,Emotional dysfunction,0.00012477412,Parenting (general),Parenting (activities),Emotional dysfunction
Parenting beliefs,Conduct problems,0.00015257078,Parenting (general),Parenting (activities),Conduct problems
Parenting beliefs,Hyperactivity/inattention,0.0001221909,Parenting (general),Parenting (activities),Hyperactivity/inattention
Parenting beliefs,Prosocial behaviour,0.00015720891,Parenting (general),Parenting (activities),Prosocial behaviour
Parenting beliefs,STEM (teacher-rating),9.3843875e-05,Parenting (general),Parenting (school help),Digital access
Parenting beliefs,Art/music (teacher-rating),0.00018459416,Parenting (general),Parenting (school help),Digital access
Parenting beliefs,Feelings (laughter),0.00011372156,Parenting (general),Parenting (school help),Digital access
Parenting beliefs,STEM (teacher-rating),0.00017670004,Parenting (general),Parenting (school help),Cognition (reading)
Parenting beliefs,English (teacher-rating),0.00025935302,Parenting (general),Parenting (school help),Cognition (reading)
Parenting beliefs,Art/music (teacher-rating),0.000100995465,Parenting (general),Parenting (school help),Cognition (reading)
Parenting beliefs,School aptitude (teacher-rating),0.00017422091,Parenting (general),Parenting (school help),Cognition (reading)
Parenting beliefs,STEM (teacher-rating),0.00014242234,Parenting (general),Parenting (school help),STEM (teacher-rating)
Parenting beliefs,English (teacher-rating),9.964906e-05,Parenting (general),Parenting (school help),English (teacher-rating)
Parenting beliefs,Conduct problems,8.1043065e-05,Parenting (general),Parenting (school help),Conduct problems
Parenting beliefs,Hyperactivity/inattention,0.00013031489,Parenting (general),Parenting (school help),Hyperactivity/inattention
Parenting beliefs,Peer relationship problems,0.00012057677,Parenting (general),Parenting (school help),Peer relationship problems
Parenting beliefs,Prosocial behaviour,0.000130089,Parenting (general),Parenting (school help),Prosocial behaviour
Parenting beliefs,STEM (teacher-rating),0.0001032464,Parenting (general),Cognition (vocabulary),Cognition (reading)
Parenting beliefs,English (teacher-rating),0.00015154081,Parenting (general),Cognition (vocabulary),Cognition (reading)
