source,target,value,sweep_2,sweep_3,sweep_4,sweep_5
Parenting beliefs,Self-harm,1.8799488e-05,Parenting (general),Parenting (activities),Parenting (involvement),Plays sports
Parenting beliefs,Negative feelings,1.4499302e-05,Parenting (general),Parenting (activities),Parenting (involvement),Plays sports
Parenting beliefs,Peer relationship problems,1.5444522e-05,Parenting (general),Parenting (activities),Parenting (involvement),Plays sports
Parenting beliefs,Emotional dysfunction,1.5212188e-05,Parenting (general),Parenting (activities),Parenting (involvement),Emotional dysfunction
Parenting beliefs,Alcohol,1.5977674e-05,Parenting (general),Parenting (activities),Parenting (involvement),Hyperactivity/inattention
Parenting beliefs,Hyperactivity/inattention,5.12011e-05,Parenting (general),Parenting (activities),Parenting (involvement),Hyperactivity/inattention
Parenting beliefs,Peer relationship problems,2.1454229e-05,Parenting (general),Parenting (activities),Parenting (involvement),Peer relationship problems
Parenting beliefs,Prosocial behaviour,1.6638143e-05,Parenting (general),Parenting (activities),Parenting (involvement),Prosocial behaviour
Parenting beliefs,Conduct problems,1.6991342e-05,Parenting (general),Parenting (activities),Digital access,Conduct problems
Parenting beliefs,Hyperactivity/inattention,2.1390078e-05,Parenting (general),Parenting (activities),Cognition (reading),Hyperactivity/inattention
Parenting beliefs,Emotional dysfunction,1.8758885e-05,Parenting (general),Parenting (activities),Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Smoking,1.9712113e-05,Parenting (general),Parenting (activities),Conduct problems,Conduct problems
Parenting beliefs,Conduct problems,4.089437e-05,Parenting (general),Parenting (activities),Conduct problems,Conduct problems
Parenting beliefs,Hyperactivity/inattention,1.957721e-05,Parenting (general),Parenting (school help),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Smoking,4.8765385e-05,Parenting (general),Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Alcohol,2.2763174e-05,Parenting (general),Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Illegal behaviour,2.3022641e-05,Parenting (general),Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Bullies others,2.9463941e-05,Parenting (general),Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Truancy,3.3884848e-05,Parenting (general),Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Self-harm,3.0879055e-05,Parenting (general),Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Conduct problems,0.00010116772,Parenting (general),Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Hyperactivity/inattention,1.653625e-05,Parenting (general),Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Prosocial behaviour,2.9799116e-05,Parenting (general),Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Hyperactivity/inattention,2.2157199e-05,Parenting (general),Conduct problems,Conduct problems,Hyperactivity/inattention
Parenting beliefs,Prosocial behaviour,1.8682658e-05,Parenting (general),Conduct problems,Conduct problems,Prosocial behaviour
Parenting beliefs,Hyperactivity/inattention,2.29322e-05,Parenting (general),Conduct problems,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Prosocial behaviour,1.4716131e-05,Parenting (general),Conduct problems,Prosocial behaviour,Prosocial behaviour
Parenting beliefs,Alcohol,2.5215495e-05,Parenting (general),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Hyperactivity/inattention,8.080407e-05,Parenting (general),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Peer relationship problems,1.5109615e-05,Parenting (general),Peer relationship problems,Peer relationship problems,Peer relationship problems
Parenting beliefs,Prosocial behaviour,6.748504e-05,Parenting (general),Prosocial behaviour,Prosocial behaviour,Prosocial behaviour
Parenting beliefs,Smoking,2.055249e-05,Parenting (rules),Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Emotional dysfunction,6.183663e-05,Parenting (rules),Emotional dysfunction,Emotional dysfunction,Emotional dysfunction
Parenting beliefs,Alcohol,1.9441006e-05,Parenting (rules),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Hyperactivity/inattention,6.229949e-05,Parenting (rules),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Prosocial behaviour,1.6489164e-05,Parenting (rules),Prosocial behaviour,Prosocial behaviour,Prosocial behaviour
Parenting beliefs,Hyperactivity/inattention,1.729132e-05,Parenting (enforcement),Cognition (patterns),Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Conduct problems,1.9308822e-05,Parenting (enforcement),Hyperactivity/inattention,Conduct problems,Conduct problems
Parenting beliefs,Conduct problems,2.0321793e-05,Parenting (enforcement),Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems
Parenting beliefs,Smoking,2.1480546e-05,Parenting (enforcement),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Alcohol,4.906338e-05,Parenting (enforcement),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Self-harm,1.7015689e-05,Parenting (enforcement),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Wellbeing,1.913058e-05,Parenting (enforcement),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Conduct problems,1.8872412e-05,Parenting (enforcement),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Hyperactivity/inattention,0.00015722559,Parenting (enforcement),Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Peer relationship problems,1.618084e-05,Parenting (enforcement),Hyperactivity/inattention,Hyperactivity/inattention,Peer relationship problems
Parenting beliefs,Peer relationship problems,3.4579833e-05,Parenting (enforcement),Peer relationship problems,Peer relationship problems,Peer relationship problems
Parenting beliefs,Prosocial behaviour,3.332058e-05,Parenting (enforcement),Prosocial behaviour,Prosocial behaviour,Prosocial behaviour
Parenting beliefs,Smoking,4.3342934e-05,Harsh parenting,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Alcohol,2.023203e-05,Harsh parenting,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Illegal behaviour,2.0462647e-05,Harsh parenting,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Bullies others,2.6187707e-05,Harsh parenting,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Truancy,3.0117033e-05,Harsh parenting,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Self-harm,2.7445469e-05,Harsh parenting,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Conduct problems,8.991841e-05,Harsh parenting,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Hyperactivity/inattention,1.4697508e-05,Harsh parenting,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Prosocial behaviour,2.6485612e-05,Harsh parenting,Conduct problems,Conduct problems,Conduct problems
Parenting beliefs,Hyperactivity/inattention,1.9693438e-05,Harsh parenting,Conduct problems,Conduct problems,Hyperactivity/inattention
Parenting beliefs,Prosocial behaviour,1.6605247e-05,Harsh parenting,Conduct problems,Conduct problems,Prosocial behaviour
Parenting beliefs,Hyperactivity/inattention,2.0382262e-05,Harsh parenting,Conduct problems,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Conduct problems,1.8055634e-05,Harsh parenting,Hyperactivity/inattention,Conduct problems,Conduct problems
Parenting beliefs,Conduct problems,1.9002862e-05,Harsh parenting,Hyperactivity/inattention,Hyperactivity/inattention,Conduct problems
Parenting beliefs,Smoking,2.008641e-05,Harsh parenting,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
Parenting beliefs,Alcohol,4.5879056e-05,Harsh parenting,Hyperactivity/inattention,Hyperactivity/inattention,Hyperactivity/inattention
